[0.042s] Invoking command in '/home/ws/ugv_ws/build/ugv_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ws/ugv_ws/install/ugv_web_app:/home/ws/ugv_ws/install/ugv_vision:/home/ws/ugv_ws/install/ugv_tools:/home/ws/ugv_ws/install/ugv_chat_ai:/home/ws/ugv_ws/install/ugv_bringup:/home/ws/ugv_ws/install/robot_pose_publisher:/opt/ros/humble /usr/bin/cmake --build /home/ws/ugv_ws/build/ugv_description -- -j4 -l4
[0.152s] Invoked command in '/home/ws/ugv_ws/build/ugv_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ws/ugv_ws/install/ugv_web_app:/home/ws/ugv_ws/install/ugv_vision:/home/ws/ugv_ws/install/ugv_tools:/home/ws/ugv_ws/install/ugv_chat_ai:/home/ws/ugv_ws/install/ugv_bringup:/home/ws/ugv_ws/install/robot_pose_publisher:/opt/ros/humble /usr/bin/cmake --build /home/ws/ugv_ws/build/ugv_description -- -j4 -l4
[0.233s] Invoking command in '/home/ws/ugv_ws/build/ugv_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ws/ugv_ws/install/ugv_web_app:/home/ws/ugv_ws/install/ugv_vision:/home/ws/ugv_ws/install/ugv_tools:/home/ws/ugv_ws/install/ugv_chat_ai:/home/ws/ugv_ws/install/ugv_bringup:/home/ws/ugv_ws/install/robot_pose_publisher:/opt/ros/humble /usr/bin/cmake --install /home/ws/ugv_ws/build/ugv_description
[0.255s] -- Install configuration: ""
[0.256s] -- Execute custom install script
[0.258s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/launch/display.launch.py
[0.258s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/launch/gazebo.launch.py
[0.260s] -- Symlinking: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/bases/cobra_flex_base.stl
[0.284s] -- Symlinking: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/bases/cobra_surge_base.stl
[0.308s] -- Symlinking: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/bases/cobra_surge_base_extend_link.stl
[0.334s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/bases/rasp_rover_base.stl
[0.334s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/bases/ugv_beast_base.stl
[0.334s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/bases/ugv_rover_base.stl
[0.334s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/sensors/3d_camera_link.stl
[0.335s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/sensors/base_lidar_link.stl
[0.335s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/sensors/pt/pt_base_link.stl
[0.335s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/sensors/pt/pt_camera_link.stl
[0.335s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/sensors/pt/pt_link1.stl
[0.336s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/sensors/pt/pt_link2.stl
[0.336s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/wheels/beast/left_down_wheel_link.stl
[0.336s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/wheels/beast/left_up_wheel_link.stl
[0.337s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/wheels/beast/right_down_wheel_link.stl
[0.337s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/wheels/beast/right_up_wheel_link.stl
[0.338s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/wheels/cobra_flex/left_down_wheel_link.stl
[0.338s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/wheels/cobra_flex/left_up_wheel_link.stl
[0.338s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/wheels/cobra_flex/right_down_wheel_link.stl
[0.338s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/wheels/cobra_flex/right_up_wheel_link.stl
[0.338s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/wheels/cobra_surge/left_down_wheel_link.stl
[0.339s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/wheels/cobra_surge/left_up_wheel_link.stl
[0.339s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/wheels/cobra_surge/right_down_wheel_link.stl
[0.339s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/wheels/cobra_surge/right_up_wheel_link.stl
[0.339s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/wheels/rover/left_down_wheel_link.stl
[0.340s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/wheels/rover/left_up_wheel_link.stl
[0.340s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/wheels/rover/right_down_wheel_link.stl
[0.341s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/meshes/wheels/rover/right_up_wheel_link.stl
[0.341s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/urdf/bases/cobra_flex.xacro
[0.341s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/urdf/bases/cobra_surge.xacro
[0.341s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/urdf/bases/empty.urdf
[0.342s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/urdf/bases/rasp_rover.xacro
[0.342s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/urdf/bases/ugv_beast.xacro
[0.342s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/urdf/bases/ugv_rover.xacro
[0.343s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/urdf/gazebo/cobra_flex.gazebo
[0.343s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/urdf/gazebo/cobra_surge.gazebo
[0.343s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/urdf/gazebo/rasp_rover.gazebo
[0.343s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/urdf/gazebo/ugv_beast.gazebo
[0.344s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/urdf/gazebo/ugv_rover.gazebo
[0.344s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/urdf/materials.xacro
[0.344s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/urdf/sensors/3d_camera.xacro
[0.345s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/urdf/sensors/lidar.xacro
[0.345s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/urdf/sensors/pt.xacro
[0.345s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/urdf/wheels/beast_wheel.xacro
[0.346s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/urdf/wheels/cobra_flex_wheel.xacro
[0.346s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/urdf/wheels/cobra_surge_wheel.xacro
[0.346s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/urdf/wheels/rover_wheel.xacro
[0.347s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/rviz/view_description.rviz
[0.347s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ament_index/resource_index/package_run_dependencies/ugv_description
[0.347s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ament_index/resource_index/parent_prefix_path/ugv_description
[0.348s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/environment/ament_prefix_path.sh
[0.349s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/environment/ament_prefix_path.dsv
[0.349s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/environment/path.sh
[0.350s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/environment/path.dsv
[0.350s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/local_setup.bash
[0.351s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/local_setup.sh
[0.351s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/local_setup.zsh
[0.352s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/local_setup.dsv
[0.352s] -- Symlinking: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/package.dsv
[0.377s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ament_index/resource_index/packages/ugv_description
[0.377s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/cmake/ament_cmake_export_dependencies-extras.cmake
[0.378s] -- Up-to-date symlink: /home/ws/ugv_ws/install/ugv_description/share/ugv_description/cmake/ugv_descriptionConfig.cmake
